[#6][#4](-[OH])-[OH],boronic acid,
C-[#4](-O[#6])-O[#6],aliphatic boronic ester,
C-[#4](-[OH])-[OH],aliphatic boronic acid,
c-[#4](-O[#6])-O[#6],aromatic boronic ester,
c-B(-[OH])-[OH],aromatic boronic acid,
c-B,aromatic boron,
C-B,aliphatic boron,
[NX3]-C(=[N+X3])-[NX3],guanadininium,
[NX3]-C(=[NX2])-[NX3],guanadine,
[#6]-C(=O)-[#4](F)(F)F,kat,
[#6]-C(=O)C(=O)-[OH],alpha keto acid,
S1CCNCC1,thiomorpholine,
NC(=O)-O-[CX4](-[CX4H3])(-[CX4H3])-[CX4H3],tertbutyl carbamate,
N-C(=O)-O-[CX4H2]-c1ccccc1,benzyl carbamate,
N-C(=O)-O-[CX4H2]-[CX3H1]=[CX3H2],allyl carbamate,
NC(OCC1c2c(c3c1cccc3)cccc2)=O,fmoc carbamate,
[#6]-O-[#6],generic ether,
[#6]-S-[#6],generic thioether,
[#6]C(=O)-O[#6],generic ester,
cC(=O)-O[#6],aromatic ester,
CC(=O)-O[#6],aliphatic ester,
[Be],berylium,
[Al],aliminium,
[Ti],titanium,
[Cr],chromium,
[Mn],manganeese,
[Fe],iron,
[Ni],nickle,
[Cu],copper,
[Pd],paladium,
[Ag],silver,
[Sn],tin,
[Pt],platinum,
[Au],gold,
[Hg],mercury,
[Pb],lead,
[Bi],bismuth,
[As],arsenic,
[Sb],antimony,
[Gd],gadolinium,
[I],iodine,
[Cl],chlorine,
[Br],bromine,
[F],fluorine,
[HI],hydrogen iodide,
[HCl],hydrogen chloride,
[HBr],hydrogen bromide,
[HF],hydrogen fluoride,
[OH2],water,
[OX1H1-],hydroxide,
[Na],sodium,
[Li],lithium,
[K],potassium,
[Rb],rubidium,
[Cs],cesium,
[Mg],magnesium,
[Ca],calcium,
[Ba],barium,
[I-],iodide,
[Cl-],chloride,
[Br-],bromide,
[F-],fluoride,
[Na+],sodium ion,
[Li+],lithium ion,
[K+],potassium ion,
[Rb+],rubidium ion,
[Cs+],cesium ion,
[Mg++],magnesium ion,
[Ca++],calcium ion,
[Ba++],barium ion,
[I]([O-])(=O)(=O)=[O],periodate,
[Cl]([O-])(=O)(=O)=[O],perchlorate,
[Br]([O-])(=O)(=O)=[O],perbromate,
[H-],hydride,
[O-],oxide,
[S-],mono sulfide,
[N-],nitride,
[NH2-],azanide,
[PH2-],phosphanide,
[C-]#N,cyanide,
[O-]C#N,cyanate,
[IX1][IX1],elemental iodine,
[ClX1][ClX1],elemental chlorine,
[BrX1][BrX1],elemental bromine,
[FX1][FX1],elemental fluorine,
[#6][NX3H1]C(=O)[#6],primary amide,
[#6][NX3](-[#6])C(=O)[#6],secondary amide,
[#6][NX3](C(=O)[#6])C(=O)[#6],saturated pthalamide,
[NX3](C(=O)[#6])C(=O)[#6],pthalamide,
[NX3H1](C(=O)[#6])C(=O)[#6],free pthalamide,
S(=O)(=O)([O-])[O-],bisulphate,
S(=O)(=O)([O-])[OX2H1],sulphate,
S(=O)(=O)([O-])[OX2H0],bound sulphate,
[H][H],molecular hydrogen,
[O-]C(=O)[O-],oxalate,
N#N,dinitrogen,
[SX3](=O)(=O)=O,sulfuric oxide,
[SX3](=O)(=O)[O-],sulfite,
[#6][SX4](=O)(=O)[OX2H1],sulfonate,
[SH2],hydrogen sulfide,
[O]=[O],elemental oxygen,
[CH2]=[O],formaldehyde,
[CH2]=[S],thioformaldehyde,
[CH2]=[C]=[O],free ketene,
[CH2]=[C]=[S],thioketene,
C=O,generic carbonyl,
C=S,generic thiocarbonyl,
[CH1;CH0]=[C]=[O],substituted ketene,
C#O,carbon monoxide,
[CH1;CH0]=[C]=[S],substituted thioketene,
[Tl],thallium,
[S--],bi sulfide,
[CH4],methane,
[Se],selenium,
[PH3]=O,phosphine oxide,
[PH3]=S,phosphine sulfide,
[PH3],phosphine,
[H+],proton,
[Mo],molybdenum,
[V],vanadium,
[Co],cobalt,
[Zn],zinc,
[Sm],samarium,
Clc1ccc(N(=O)=O)cc1 ,para nitro cloro benzene,
[O!H]c1ccc(N(=O)=O)cc1 ,para ether cloro benzene,
Fc1ccc(N(=O)=O)cc1 ,para nitro flouro benzene,
Brc1ccc(N(=O)=O)cc1 ,para nitro bromo benzene,
Ic1ccc(N(=O)=O)cc1 ,para nitro iodo benzene,
[OH]c1ccc(N(=O)=O)cc1 ,para nitro hydroxy benzene,
[CX3]c1ccc(N(=O)=O)cc1 ,para nitro alkyl benzene,
Clc1ccc(C(=O)O)cc1 ,para ester cloro benzene,
[O!H]c1ccc(C(=O)O)cc1 ,para ester ether benzene,
Fc1ccc(C(=O)O)cc1 ,para ester flouro benzene,
Brc1ccc(C(=O)O)cc1 ,para ester bromo benzene,
Ic1ccc(C(=O)O)cc1 ,para ester iodo benzene,
[OH]c1ccc(C(=O)O)cc1 ,para ester hydroxy benzene,
[CX3]c1ccc(C(=O)O)cc1 ,para ester alkyl benzene,
Clc1ccc(C(=O)N)cc1 ,para amide cloro benzene,
[O!H]c1ccc(C(=O)N)cc1 ,para amide ether benzene,
Fc1ccc(C(=O)N)cc1 ,para amide flouro benzene,
Brc1ccc(C(=O)N)cc1 ,para amide bromo benzene,
Ic1ccc(C(=O)N)cc1 ,para amide iodo benzene,
[OH]c1ccc(C(=O)N)cc1 ,para amide hydroxy benzene,
[CX3]c1ccc(C(=O)N)cc1 ,para amide alkyl benzene,
Clc1ccncc1 ,para chloro pyridine,
[O!H]c1ccncc1 ,para ether pyridine,
Fc1ccncc1 ,para flouro pyridine,
Brc1ccncc1 ,para bromo pyridine,
Ic1ccncc1 ,para iodo pyridine,
[OH]c1ccncc1 ,para hydroxy pyridine,
[CX3]c1ccncc1 ,para alkyl pyridine,
c1cc(Cl)c(N(=O)=O)cc1 ,ortho nitro cloro benzene,
c1cc([O!H])c(N(=O)=O)cc1 ,ortho nitro ether benzene,
c1cc(F)c(N(=O)=O)cc1 ,ortho nitro flouro benzene,
c1cc(Br)c(N(=O)=O)cc1 ,ortho nitro bromo benzene,
c1cc(I)c(N(=O)=O)cc1 ,ortho nitro iodo benzene,
c1cc([OH])c(N(=O)=O)cc1 ,ortho nitro hydroxy benzene,
